Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------------+-----------------+--------------+
|                                                                                   Method                                                                                   |    Time (ms)    |  Avg. Time (ms)  |  Own Time (ms)  |    Count     |
|  java.util.zip.ZipFile$ZipFileInflaterInputStream.fill() ZipFile.java                                                                                                      |        4    0%  |             0.1  |            0.1  |          41  |
|  java.io.RandomAccessFile.readFully(byte[], int, int) RandomAccessFile.java                                                                                                |        4    0%  |           < 0.1  |            0.1  |         112  |
|  com.sun.management.internal.GcInfoCompositeData.<clinit>() GcInfoCompositeData.java                                                                                       |        4    0%  |               2  |          < 0.1  |           2  |
|  jdk.internal.loader.URLClassPath$JarLoader.getResource(String, boolean) URLClassPath.java                                                                                 |        4    0%  |           < 0.1  |            0.2  |          78  |
|  java.util.zip.ZipFile$ZipFileInputStream.read(byte[], int, int) ZipFile.java                                                                                              |        4    0%  |             0.1  |            0.2  |          41  |
|  deltablue.Strength.<clinit>()                                                                                                                                             |        4    0%  |               4  |            0.2  |           1  |
|  sun.management.LazyCompositeData.getLong(CompositeData, String) LazyCompositeData.java                                                                                    |        3    0%  |           < 0.1  |            0.7  |         536  |
|  sun.management.MappedMXBeanType.getMappedType(Type) MappedMXBeanType.java                                                                                                 |        3    0%  |             0.4  |          < 0.1  |           8  |
|  java.lang.invoke.StringConcatFactory.prepender(int, String[], Class[], int) StringConcatFactory.java                                                                      |        3    0%  |             0.6  |            0.5  |           6  |
|  sun.management.MappedMXBeanType.newMappedType(Type) MappedMXBeanType.java                                                                                                 |        3    0%  |               1  |            0.7  |           2  |
|  java.lang.StringCoding.countPositives(byte[], int, int) StringCoding.java                                                                                                 |        3    0%  |               0  |              3  |       4,704  |
|  java.util.TreeMap$KeySet.contains(Object) TreeMap.java                                                                                                                    |        3    0%  |           < 0.1  |              1  |         984  |
|  java.util.stream.MatchOps$MatchOp.evaluateSequential(PipelineHelper, Spliterator) MatchOps.java                                                                           |        3    0%  |             0.1  |          < 0.1  |          24  |
|  javax.management.openmbean.TabularType.isAssignableFrom(OpenType) TabularType.java                                                                                        |        3    0%  |             0.1  |            0.1  |          32  |
|  sun.management.MappedMXBeanType$MapMXBeanType.<init>(ParameterizedType) MappedMXBeanType.java                                                                             |        3    0%  |               3  |            0.1  |           1  |
|  sun.nio.fs.UnixFileAttributeViews$Basic.readAttributes() UnixFileAttributeViews.java                                                                                      |        3    0%  |               1  |          < 0.1  |           2  |
|  java.util.stream.MatchOps$MatchOp.evaluateSequential(PipelineHelper, Spliterator) MatchOps.java                                                                           |        3    0%  |             0.1  |            0.2  |          24  |
|  java.util.zip.ZipFile.getInputStream(ZipEntry) ZipFile.java                                                                                                               |        3    0%  |           < 0.1  |            0.8  |          41  |
|  sun.nio.fs.UnixFileAttributes.get(UnixPath, boolean) UnixFileAttributes.java                                                                                              |        3    0%  |               1  |          < 0.1  |           2  |
|  sun.nio.fs.UnixNativeDispatcher.stat(UnixPath, UnixFileAttributes) UnixNativeDispatcher.java                                                                              |        3    0%  |               1  |          < 0.1  |           2  |
|  java.util.jar.JarFile.getJarEntry(String) JarFile.java                                                                                                                    |        2    0%  |           < 0.1  |            0.1  |          78  |
|  java.util.zip.ZipFile$Source.zipCoderForPos(int) ZipFile.java                                                                                                             |        2    0%  |               0  |              2  |       4,730  |
|  java.util.zip.ZipUtils.LG(byte[], int) ZipUtils.java                                                                                                                      |        2    0%  |               0  |              2  |       5,021  |
